temperature,humidity,moisture,soil_type,crop_type,nitrogen,potassium,phosphorous,fertilizer_name
32,62,34,red,tobacco,22,0,24,28-28
34,65,60,black,sugarcane,35,0,0,urea
35,67,42,sandy,barley,10,0,35,dap
38,70,48,loamy,wheat,8,8,28,14-35-14
26,52,32,black,oil seeds,12,0,8,20-20
29,58,43,clayey,paddy,24,0,18,28-28
30,60,29,red,ground nuts,41,0,0,urea
33,64,51,sandy,maize,5,9,29,14-35-14
34,65,31,red,tobacco,23,0,21,28-28
36,68,33,black,oil seeds,13,0,14,20-20
28,54,38,clayey,pulses,40,0,0,urea
30,60,47,sandy,barley,12,0,42,dap
31,62,63,red,cotton,11,12,15,17-17-17
27,53,43,black,millets,23,0,24,28-28
34,65,54,loamy,wheat,38,0,0,urea
29,58,37,sandy,millets,8,0,15,20-20
25,50,56,loamy,sugarcane,11,13,15,17-17-17
32,62,34,red,ground nuts,15,0,37,dap
28,54,41,clayey,paddy,36,0,0,urea
30,60,49,loamy,wheat,13,0,9,20-20
34,65,64,black,cotton,24,0,20,28-28
28,54,47,sandy,barley,5,18,15,10-26-26
27,53,35,black,oil seeds,37,0,0,urea
36,68,62,red,cotton,15,0,40,dap
34,65,57,black,sugarcane,9,0,13,20-20
29,58,55,loamy,sugarcane,8,8,33,14-35-14
25,50,40,clayey,pulses,6,19,16,10-26-26
30,60,38,sandy,millets,10,0,14,20-20
26,52,39,clayey,pulses,21,0,23,28-28
31,62,32,red,tobacco,39,0,0,urea
34,65,48,loamy,wheat,23,0,19,28-28
27,53,34,black,oil seeds,42,0,0,urea
33,64,31,red,ground nuts,13,0,39,dap
29,58,42,clayey,paddy,9,10,22,14-35-14
30,60,47,sandy,maize,22,0,21,28-28
27,53,59,loamy,sugarcane,10,0,15,20-20
26,52,36,clayey,pulses,7,16,20,10-26-26
34,65,63,red,cotton,14,0,38,dap
28,54,43,clayey,paddy,10,8,29,14-35-14
30,60,40,sandy,millets,41,0,0,urea
29,58,65,black,cotton,14,0,35,dap
26,52,59,loamy,sugarcane,11,0,9,20-20
31,62,44,sandy,barley,21,0,28,28-28
35,67,28,clayey,pulses,8,7,31,14-35-14
29,58,30,red,tobacco,13,17,16,10-26-26
27,53,30,black,millets,35,0,0,urea
36,68,50,loamy,wheat,12,18,19,10-26-26
29,58,61,loamy,cotton,11,0,38,dap
30,60,26,black,oil seeds,8,9,30,14-35-14
34,65,45,clayey,paddy,6,19,21,10-26-26
36,68,41,red,ground nuts,41,0,0,urea
28,54,25,sandy,maize,9,10,30,14-35-14
25,50,32,clayey,pulses,24,0,19,28-28
30,60,27,red,tobacco,4,17,17,10-26-26
38,72,51,loamy,wheat,39,0,0,urea
36,60,43,sandy,millets,15,0,41,dap
29,58,57,black,sugarcane,12,0,10,20-20
27.58,59.21,31.27,loamy,cotton,20,2,15,dap
27.45,66.38,50.14,black,millets,9,12,14,28-28
27.25,63.62,40.35,black,wheat,28,0,22,urea
28.84,58.91,33.06,clayey,millets,8,9,28,17-17-17
25.86,48.46,46.25,red,ground nuts,40,2,0,28-28
25.59,63.6,46.33,clayey,cotton,11,0,11,28-28
29.17,68.19,30.65,sandy,oil seeds,6,4,14,urea
36.05,73.59,58.17,red,millets,9,14,11,17-17-17
26.76,64.22,53.63,sandy,ground nuts,5,8,30,28-28
27.66,53.58,40.96,red,cotton,41,0,3,20-20
28.27,52.88,43.3,black,wheat,40,0,0,10-26-26
38.39,69.51,65.09,clayey,oil seeds,8,1,16,urea
28.74,56.8,54.07,loamy,cotton,15,0,35,dap
30.63,63.88,38.71,loamy,paddy,19,4,28,dap
26.02,52.46,31.12,loamy,barley,11,5,12,10-26-26
34.71,64.94,52.62,sandy,oil seeds,9,22,21,14-35-14
23.71,51.25,30.5,black,oil seeds,11,0,8,17-17-17
30.63,61.45,23.18,black,maize,37,2,4,17-17-17
23.63,52.62,31.03,clayey,sugarcane,12,13,13,14-35-14
27.65,58.09,69.07,clayey,oil seeds,16,3,32,10-26-26
31.19,60.94,30.51,black,paddy,12,0,36,urea
37.12,72.87,47.06,sandy,tobacco,45,2,0,urea
33.52,60.46,47.85,black,pulses,7,15,16,dap
29.44,59.34,55.51,loamy,sugarcane,10,3,31,17-17-17
33.24,69.48,65.48,clayey,cotton,8,13,28,10-26-26
20.85,53.18,43.77,loamy,tobacco,2,20,19,urea
38.42,73.97,50.41,loamy,sugarcane,11,1,36,dap
29.04,71.09,21.12,sandy,maize,34,0,3,14-35-14
23.59,55.82,62.92,red,sugarcane,39,0,0,urea
38.56,73.46,30.62,black,pulses,11,0,32,28-28
30.87,63.94,46.2,sandy,cotton,15,0,8,urea
25.83,51.1,59.57,sandy,maize,38,4,0,urea
34.51,63.92,70,loamy,sugarcane,14,0,35,17-17-17
31.92,62.59,27.78,sandy,pulses,18,0,25,dap
28.43,58.72,43.9,sandy,sugarcane,13,16,11,20-20
27.53,55.04,57.07,sandy,pulses,4,0,14,28-28
24.53,67.4,48.49,red,paddy,8,9,18,20-20
30.82,51.91,54.23,red,wheat,15,4,33,14-35-14
32.53,59.45,20.16,loamy,cotton,9,15,16,17-17-17
28.17,58.69,34.11,sandy,cotton,12,8,33,20-20
29.25,54.52,41.4,clayey,paddy,35,0,0,28-28
22.26,51.36,48.36,loamy,tobacco,6,16,17,urea
30.76,66.64,56.32,red,ground nuts,41,3,4,28-28
27.84,66.53,36.89,loamy,sugarcane,7,11,20,urea
29.21,64.21,54.95,red,wheat,7,11,31,14-35-14
26.01,59.52,35.75,loamy,pulses,11,13,15,28-28
29.5,55.42,51.17,red,cotton,23,0,23,10-26-26
32.98,62.02,33.12,red,wheat,40,0,0,10-26-26
24.24,59.04,50.07,loamy,barley,38,0,1,urea
33.54,59.28,52.09,clayey,wheat,21,3,20,20-20
34.43,72.28,62.22,clayey,ground nuts,35,4,0,17-17-17
32.19,68.94,67.37,sandy,barley,15,0,33,20-20
32.55,71.46,67.14,clayey,oil seeds,5,7,32,20-20
28.38,52.02,43.83,loamy,wheat,13,0,38,10-26-26
25.4,43.57,38.51,red,maize,36,0,0,28-28
33.8,52.28,53.31,clayey,millets,12,15,15,28-28
28.38,47.58,34.86,black,paddy,20,0,20,28-28
28.37,59.8,35.35,black,oil seeds,23,2,16,17-17-17
30.08,73.84,41.22,sandy,sugarcane,1,14,22,10-26-26
34.95,64.93,62.63,clayey,wheat,31,1,0,14-35-14
35.56,74.88,52.16,clayey,cotton,20,0,21,14-35-14
24.05,52.76,58.9,sandy,oil seeds,7,1,7,dap
23.42,53.65,69.68,sandy,barley,11,3,14,20-20
31.68,62.14,42.55,black,sugarcane,17,0,31,17-17-17
31.03,69,49.46,loamy,maize,19,0,19,20-20
31.78,44.27,45.07,loamy,maize,5,8,32,dap
22.3,60.64,40.78,sandy,ground nuts,39,0,2,28-28
26.39,52.62,22.27,sandy,cotton,8,1,43,17-17-17
29.36,64.39,20,red,tobacco,13,4,39,10-26-26
26.67,47.94,34.08,black,sugarcane,13,0,8,dap
26.75,56.87,20,clayey,barley,12,6,30,17-17-17
30.64,65.77,32.86,clayey,sugarcane,24,0,17,17-17-17
29.89,48.59,38,clayey,pulses,26,0,21,28-28
28.61,62.22,41.53,loamy,ground nuts,8,13,18,urea
37.09,63.72,47.99,red,sugarcane,39,2,0,17-17-17
21.78,55.6,33.66,loamy,maize,37,3,0,10-26-26
30.42,70.37,55.92,red,wheat,2,5,25,17-17-17
35.39,52.28,42.97,sandy,pulses,10,17,12,10-26-26
30.53,52.17,41.92,black,oil seeds,3,15,15,urea
28.09,56.62,36.14,loamy,ground nuts,10,0,34,20-20
22.95,55.86,31.58,black,paddy,16,3,22,28-28
32.06,75.56,55.73,sandy,tobacco,18,1,38,17-17-17
38.4,67.88,62.06,clayey,maize,11,11,16,28-28
33.59,66.16,69.67,sandy,pulses,12,13,27,20-20
26.47,62.91,46.87,sandy,ground nuts,10,4,11,28-28
31.56,58.25,29.12,loamy,oil seeds,13,21,14,14-35-14
29.13,56.72,67.72,clayey,ground nuts,8,13,32,17-17-17
23.35,59.98,63.83,black,oil seeds,36,4,0,14-35-14
26.75,58.1,39.27,clayey,maize,19,0,20,14-35-14
30.42,48.76,42.28,red,millets,41,0,1,17-17-17
24.9,51.02,31.9,loamy,ground nuts,14,13,8,17-17-17
27.31,57.3,22.41,loamy,wheat,34,1,0,urea
31.5,74.7,23.25,clayey,ground nuts,8,1,9,dap
27.63,69.25,41.18,loamy,millets,19,0,26,dap
22.59,45.7,33.13,black,maize,38,0,4,14-35-14
35.97,60.1,26.8,black,tobacco,11,2,40,20-20
27.69,55.55,27.9,red,sugarcane,26,2,22,20-20
24.27,52.43,62.34,loamy,millets,6,1,14,dap
30.42,50.01,26.27,black,ground nuts,9,3,11,28-28
31.52,44.64,42.86,red,barley,13,0,35,28-28
30.64,57.57,46.45,red,wheat,12,4,13,20-20
22.17,47.78,43.03,clayey,paddy,15,0,16,28-28
36.5,65.85,42.33,loamy,maize,5,10,32,10-26-26
35.13,65.69,37.76,black,maize,8,4,6,28-28
24.82,53.75,47.97,black,ground nuts,6,14,10,dap
31.24,55.88,37.05,sandy,oil seeds,6,0,9,urea
29.77,46.18,63.79,loamy,cotton,5,3,14,10-26-26
25.86,46.65,32.67,clayey,oil seeds,35,0,0,17-17-17
30.15,60.77,42.93,clayey,cotton,44,0,0,urea
29.46,59.4,49.1,clayey,ground nuts,10,0,12,28-28
29.37,64.45,64.66,black,cotton,38,0,0,10-26-26
23.63,58.75,35.6,red,oil seeds,19,0,18,28-28
32.45,60.24,55.92,sandy,millets,10,5,31,28-28
37.34,63.39,25.36,red,paddy,15,4,39,14-35-14
30.41,67.24,65.58,loamy,cotton,3,8,34,17-17-17
31.9,55.45,59.87,sandy,barley,12,0,37,14-35-14
35.85,52.79,54.13,clayey,cotton,16,13,16,17-17-17
28.87,49.91,35.02,red,pulses,20,0,23,10-26-26
26.33,50.2,45.34,clayey,oil seeds,9,19,18,10-26-26
29.67,58.75,40.69,sandy,sugarcane,35,0,0,urea
32.2,50.72,39.63,clayey,ground nuts,23,0,15,28-28
29.24,62.15,51.65,black,millets,6,0,41,10-26-26
34.15,71.16,41.7,red,paddy,37,0,1,urea
31.56,55.15,56.8,red,barley,9,0,35,dap
24.76,56.88,20,clayey,oil seeds,9,0,36,10-26-26
34.15,63.96,47.64,red,barley,11,0,14,14-35-14
30.7,57.71,38.36,sandy,wheat,9,4,18,28-28
34.89,53.79,37.58,red,ground nuts,23,2,22,urea
26.7,63.42,24.65,sandy,cotton,13,1,42,17-17-17
23.75,61.43,52.94,black,ground nuts,37,0,0,dap
25.73,52.9,46.14,red,cotton,21,0,18,20-20
25.36,50.91,24.39,loamy,wheat,13,0,10,20-20
36.35,61.89,65.38,black,sugarcane,39,0,0,dap
21.91,46.66,45.27,black,millets,24,0,21,14-35-14
26.44,65.84,50.2,clayey,pulses,10,0,9,28-28
28.93,50.28,20.33,red,wheat,8,0,12,urea
30.06,53.68,70,sandy,maize,7,6,34,20-20
35.29,64.13,46.59,clayey,pulses,16,13,13,14-35-14
24.61,63.9,70,loamy,pulses,41,2,0,dap
29.38,60.44,45.57,clayey,millets,19,0,22,14-35-14
30.2,51.16,32.5,red,barley,20,0,19,dap
32.46,68.2,64.77,sandy,sugarcane,11,0,9,14-35-14
24.26,53.19,67.73,clayey,oil seeds,34,0,4,dap
37.9,75.51,25.35,clayey,ground nuts,11,0,35,dap
31.1,55.48,46.43,sandy,cotton,34,0,2,urea
31.75,62.4,34.97,black,wheat,17,0,15,urea
27.29,57.56,53.09,black,pulses,15,11,11,20-20
26.71,55.89,69.87,loamy,paddy,15,0,40,14-35-14
29.25,56.07,33.6,black,oil seeds,21,0,18,dap
29.73,58.67,29.64,red,barley,17,0,20,17-17-17
31.62,57.88,42.77,clayey,oil seeds,10,12,18,14-35-14
25.93,54.07,23.84,loamy,maize,8,13,12,14-35-14
26.47,55.37,59.34,sandy,maize,11,1,12,20-20
21.92,53,33.57,black,barley,18,0,42,17-17-17
24.35,58.11,34.04,clayey,oil seeds,4,0,10,28-28
29.55,45.99,50.06,red,sugarcane,9,4,10,10-26-26
28.29,60.24,33.44,black,pulses,33,0,2,dap
31.31,73.26,70,loamy,pulses,11,2,41,14-35-14
30.05,58.21,23.31,loamy,cotton,43,0,0,17-17-17
31.27,62.18,32.06,sandy,paddy,21,4,24,14-35-14
32.51,61.45,70,loamy,ground nuts,10,1,32,urea
23.98,44.94,20,sandy,oil seeds,14,11,13,28-28
30.28,69.29,53.16,sandy,tobacco,39,1,2,10-26-26
28.02,54.85,55.71,sandy,sugarcane,10,9,18,20-20
28.66,56.26,39.29,black,sugarcane,37,0,1,dap
30.85,70.39,29.35,black,millets,22,0,26,10-26-26
24.51,62.55,65.83,loamy,pulses,13,4,5,urea
22.33,56.84,29.98,black,ground nuts,18,4,23,14-35-14
29.75,55.39,28.42,sandy,tobacco,42,1,4,14-35-14
28.27,52.86,22.36,clayey,ground nuts,41,0,2,10-26-26
33.27,67.2,40.49,loamy,paddy,17,0,12,10-26-26
38.53,70.2,28.94,loamy,millets,10,0,32,17-17-17
25.2,60.02,69.92,sandy,oil seeds,8,14,31,20-20
23.66,55.66,31.32,red,wheat,38,0,2,20-20
35.01,71.58,39.2,black,wheat,9,0,16,14-35-14
36.92,69.78,32.64,clayey,maize,12,2,31,14-35-14
23.74,47.23,43.64,red,tobacco,18,0,19,10-26-26
30.51,48.99,28.68,black,tobacco,6,0,11,14-35-14
27.02,68.83,33.05,black,tobacco,0,16,19,urea
27.77,42.89,59.1,red,barley,6,2,13,urea
39.65,63.55,47.33,red,cotton,3,12,30,urea
37.27,64.08,36.28,red,barley,15,4,45,20-20
27.93,64.17,62.13,black,pulses,7,0,6,20-20
29.95,61.75,36.58,black,sugarcane,37,0,0,28-28
24.97,59.24,47.46,sandy,paddy,26,0,21,20-20
27.68,61.68,59.47,clayey,paddy,18,0,36,17-17-17
23.82,47.74,30.62,black,cotton,2,20,12,17-17-17
34.57,69.61,57.23,clayey,pulses,38,0,0,dap
35.1,70.14,56.12,loamy,pulses,16,0,44,20-20
33.71,59.42,29.32,black,barley,16,0,38,14-35-14
24.75,45.31,49.7,clayey,cotton,23,0,23,10-26-26
37.36,59.64,53.7,loamy,millets,3,12,31,10-26-26
32.22,56.29,48.76,black,maize,35,0,2,10-26-26
32.35,48.81,46.33,loamy,paddy,31,3,0,20-20
40,80,59.99,clayey,cotton,42,0,0,10-26-26
25.85,62.32,48.82,red,cotton,33,3,0,dap
30.61,66.36,42.09,red,barley,8,22,18,dap
34.51,54.79,54.12,loamy,maize,5,6,26,28-28
29.66,43.74,43.31,red,paddy,35,3,2,20-20
31.75,46.82,37.35,red,maize,16,0,15,dap
25.43,68.65,39.28,red,oil seeds,20,0,17,10-26-26
30.97,58.53,29.79,loamy,wheat,10,21,13,17-17-17
28.58,71.66,46.04,red,oil seeds,10,12,9,10-26-26
29.87,63.64,61.4,black,wheat,15,16,10,20-20
25.09,54.56,34.08,red,maize,19,0,21,28-28
29.76,45.13,30.91,red,cotton,35,2,0,dap
31.38,69.36,35.4,black,tobacco,35,3,0,urea
36.7,70.28,23.31,sandy,ground nuts,37,0,0,10-26-26
26.91,44.27,23.76,loamy,barley,18,0,45,10-26-26
30.83,53.08,47.02,black,oil seeds,7,0,5,dap
31.98,55.89,57.6,red,barley,37,4,0,17-17-17
30.46,48.84,33.31,red,paddy,23,1,25,14-35-14
29.24,54.29,47.85,clayey,paddy,14,9,32,urea
31.38,67.84,59.74,loamy,maize,12,0,34,10-26-26
29.08,54.19,61.72,clayey,maize,41,0,1,14-35-14
40,60.8,50.41,black,cotton,12,10,23,10-26-26
23.18,53.55,20,black,ground nuts,19,15,15,17-17-17
32.61,54.79,70,black,barley,40,4,0,urea
36.12,72.17,33.4,sandy,paddy,9,0,37,urea
23.88,57.05,35.25,loamy,barley,40,3,0,20-20
30.78,64.7,35.01,clayey,pulses,14,0,12,10-26-26
36.46,65.08,43.87,red,paddy,10,8,27,10-26-26
40,77.61,29.53,loamy,sugarcane,7,4,45,10-26-26
32,57.73,35.48,black,wheat,42,0,0,10-26-26
32.69,69.21,22.19,black,sugarcane,4,10,26,20-20
29.63,45.37,21.76,black,sugarcane,14,0,11,28-28
34.22,56.39,49.89,red,pulses,25,0,19,14-35-14
36.56,76.26,36.26,sandy,wheat,7,11,34,10-26-26
37,62.94,55.83,loamy,pulses,35,1,0,20-20
37.66,74.6,28.6,black,millets,36,3,3,dap
36.42,75.12,46.56,sandy,ground nuts,14,2,37,dap
29.92,50.41,62.32,clayey,ground nuts,8,9,32,10-26-26
31.96,49.13,52.38,loamy,maize,8,0,38,10-26-26
38.65,62.79,58.95,black,cotton,10,0,43,20-20
24.94,50.42,55.75,red,tobacco,35,0,1,14-35-14
26.11,52.09,44.94,black,pulses,25,4,22,urea
39.68,75.02,51.69,clayey,barley,3,4,31,14-35-14
32.74,64.14,68.56,red,millets,12,0,39,10-26-26
25.3,50.31,45.77,loamy,tobacco,14,1,36,14-35-14
29.37,61.61,33,loamy,oil seeds,4,9,26,10-26-26
35.12,61.28,35.3,red,sugarcane,11,0,36,urea
31.57,46.3,28.05,red,tobacco,36,0,0,14-35-14
38,61.23,26.32,black,wheat,9,4,38,17-17-17
36.29,71,56.12,black,barley,38,0,0,dap
32.76,61.99,68.62,black,pulses,13,0,38,dap
33.01,61.9,32.87,sandy,wheat,41,3,1,28-28
27.09,64.13,38,black,paddy,28,0,27,28-28
30.15,68.23,37.36,sandy,wheat,11,0,9,28-28
31.12,54.41,55.18,clayey,oil seeds,12,0,31,dap
31.08,61.81,34.73,red,wheat,38,3,0,dap
34.99,65.23,27.62,clayey,maize,1,17,13,10-26-26
28.29,46.16,41.47,black,millets,3,12,16,20-20
37.61,61.11,36.72,loamy,barley,10,2,42,urea
36.02,69.03,54.45,sandy,barley,21,0,22,20-20
28.58,41.09,30.84,red,tobacco,21,0,22,17-17-17
24.6,52.29,30.92,black,tobacco,16,0,39,dap
29.87,56.39,37.84,sandy,cotton,13,4,6,10-26-26
29.85,47.2,57.02,sandy,millets,27,0,20,10-26-26
26.12,63.44,63.43,loamy,millets,5,10,36,dap
34.94,57.44,52.37,sandy,wheat,5,3,5,dap
31.59,63.18,56.9,black,paddy,16,4,36,10-26-26
37.33,67.17,37.59,loamy,maize,11,0,42,10-26-26
24.02,45.09,67.89,loamy,tobacco,37,1,2,14-35-14
33.56,66.29,26.04,clayey,wheat,43,2,2,14-35-14
30.78,50.3,52.95,clayey,barley,25,0,22,20-20
32.39,66.19,63.37,clayey,ground nuts,10,7,26,10-26-26
31.26,67.75,26.57,black,barley,23,2,22,urea
38.04,69.01,42.8,red,ground nuts,9,8,32,10-26-26
32.73,62.66,34.5,red,paddy,12,1,44,17-17-17
27.79,60.14,41.16,clayey,paddy,37,0,4,10-26-26
32.24,55.75,45.85,black,pulses,44,0,0,20-20
31.18,60.59,20.77,black,pulses,12,0,42,28-28
34.04,65.18,55.33,black,ground nuts,12,7,32,28-28
28.92,49.12,20,black,pulses,11,14,31,17-17-17
36.08,74.86,38.71,red,wheat,8,20,21,10-26-26
32.57,62.47,37.05,sandy,millets,14,3,36,urea
32.53,51.27,44.71,sandy,ground nuts,38,0,4,14-35-14
25.19,60.71,52.06,red,paddy,26,0,25,14-35-14
28.66,47.45,44.04,loamy,wheat,36,0,4,20-20
24.59,58.22,64.12,sandy,paddy,9,14,12,10-26-26
25.71,59.93,51.81,clayey,tobacco,8,0,37,17-17-17
28.24,54.62,35.02,clayey,wheat,10,0,12,dap
33.95,61,45.29,clayey,maize,18,3,17,17-17-17
33.88,59.02,35.32,clayey,sugarcane,11,4,27,dap
30.87,58.93,70,clayey,oil seeds,2,9,32,28-28
33.25,69.66,51.62,sandy,maize,36,0,4,urea
30.25,72.59,57.4,black,pulses,4,0,15,28-28
31.59,67.65,56.8,sandy,oil seeds,7,3,42,urea
37.68,62.61,54.72,black,ground nuts,41,0,4,urea
30.23,70.15,26.2,red,oil seeds,19,0,33,17-17-17
30.29,58.63,51.24,loamy,ground nuts,24,0,16,17-17-17
27.47,53.06,40,red,paddy,8,0,40,28-28
29.05,52,53.16,black,cotton,19,0,15,28-28
22.27,58.06,38.54,black,tobacco,2,16,19,28-28
26.4,57.87,57.72,sandy,cotton,36,0,2,14-35-14
24.38,52.09,25.67,loamy,sugarcane,13,10,26,28-28
33.24,51.28,65.32,black,pulses,5,14,29,urea
27.41,52.54,41.48,black,barley,9,0,10,urea
32.64,77.53,39.18,clayey,maize,12,0,34,20-20
27.61,71.93,41.84,red,barley,18,0,29,17-17-17
36.71,76.2,24.17,sandy,barley,10,0,17,14-35-14
31.72,71.9,41.1,clayey,oil seeds,14,2,38,20-20
38.33,70.83,45.85,loamy,cotton,1,14,17,urea
31.36,44.29,43.74,sandy,pulses,10,0,40,17-17-17
31.97,57.04,39.26,loamy,maize,23,0,26,10-26-26
30.86,66.38,42.56,clayey,sugarcane,15,0,41,14-35-14
29.81,63.42,20,loamy,millets,12,0,37,10-26-26
30.18,68.42,36.95,clayey,barley,34,2,1,17-17-17
25.23,62.86,38.43,red,cotton,41,0,4,20-20
37.04,68.38,51.4,red,maize,4,9,28,28-28
26.14,52.36,40.32,clayey,paddy,24,0,17,14-35-14
25.71,49.13,33.26,sandy,sugarcane,5,10,31,14-35-14
30.12,69.25,21.43,loamy,paddy,39,1,4,28-28
27.34,63.01,48.83,black,cotton,21,2,23,10-26-26
30.29,69.44,58.64,clayey,pulses,40,0,0,14-35-14
33.67,68.27,57.75,clayey,millets,34,4,0,dap
34.7,66.76,69.2,loamy,sugarcane,7,14,16,20-20
34.38,60.73,50.97,red,oil seeds,9,11,8,dap
33.48,62.18,48.6,black,wheat,9,3,13,20-20
33.6,60.98,68.08,clayey,tobacco,13,10,30,14-35-14
31.74,62.32,52.3,loamy,sugarcane,6,4,40,urea
27.11,49.05,43.91,black,oil seeds,18,4,27,20-20
29.56,70.11,44.74,sandy,wheat,44,0,0,20-20
33.71,58.93,43.88,loamy,barley,18,0,33,dap
21.93,44.5,63.49,red,maize,15,1,7,14-35-14
33.53,60.05,37.18,red,maize,12,1,40,20-20
25.31,51.61,33.05,red,ground nuts,17,0,40,dap
31.78,65.4,52.23,sandy,ground nuts,18,0,42,10-26-26
34.68,58.89,27.43,sandy,pulses,39,1,0,28-28
39.75,60.73,38.94,clayey,millets,11,0,42,17-17-17
22.69,51.37,61.27,sandy,oil seeds,8,0,19,urea
24.06,40.2,34.24,black,wheat,2,19,12,10-26-26
38.25,74.83,48.66,clayey,sugarcane,36,0,3,17-17-17
40,64.51,51.07,red,millets,36,0,0,28-28
35.73,71.25,45.65,clayey,millets,12,3,30,20-20
31.33,52.44,48.45,black,maize,40,0,2,dap
32.64,71.49,45.45,black,maize,9,17,16,14-35-14
24.83,51.23,46.97,red,millets,19,0,18,28-28
30.57,73.76,66.01,loamy,oil seeds,18,0,39,17-17-17
27.61,52.18,38.91,black,tobacco,36,0,3,20-20
25.3,51.45,24.59,sandy,barley,9,9,32,17-17-17
31.71,58.44,35.47,loamy,pulses,14,0,34,urea
25.28,55.82,32.12,clayey,barley,6,12,13,10-26-26
29.97,58.25,31.86,loamy,sugarcane,38,0,0,28-28
32.38,58.5,45.02,red,wheat,8,0,38,20-20
30.69,59.44,51.07,sandy,sugarcane,26,0,17,10-26-26
33.71,71.14,43.81,clayey,millets,37,0,4,17-17-17
26.91,52.52,30.81,black,cotton,17,3,41,28-28
29.32,51.48,40.11,red,tobacco,20,0,22,urea
25.99,55.37,65.56,sandy,wheat,9,4,12,28-28
33.65,66.5,65.99,black,wheat,9,8,32,dap
29.23,55.19,29.27,red,wheat,20,2,20,28-28
25.5,65.19,38.34,loamy,oil seeds,40,0,2,urea
26.92,56.83,44.88,loamy,wheat,34,2,3,urea
35.51,70.33,59.14,loamy,paddy,40,0,0,dap
27.1,61.29,41.14,sandy,tobacco,28,3,16,10-26-26
32.66,55.25,20,red,paddy,0,13,16,10-26-26
35.8,55.37,57.55,clayey,maize,7,8,27,14-35-14
29.38,54.47,52.56,sandy,maize,22,0,24,14-35-14
36.66,76.82,39.74,sandy,millets,7,8,30,10-26-26
32.53,60.02,29.35,clayey,wheat,10,4,42,urea
32.66,74.93,33.56,black,pulses,13,0,12,17-17-17
34.63,63.8,24.01,black,maize,11,0,38,urea
24.84,62.63,36.65,black,oil seeds,7,8,28,10-26-26
29,44.56,33.96,red,millets,16,1,16,20-20
35.26,53.82,24.93,red,ground nuts,21,2,19,urea
33.42,55.5,64.41,black,paddy,5,5,32,17-17-17
28.04,55.51,49.43,sandy,wheat,40,0,4,28-28
34.9,61.86,35.47,clayey,millets,22,4,26,20-20
22.34,53.62,38.61,red,wheat,16,1,5,17-17-17
28.11,47.2,36.8,clayey,paddy,10,0,35,20-20
34.35,66.79,51.52,black,wheat,4,9,24,17-17-17
28.74,48.61,35.72,red,tobacco,14,3,37,14-35-14
22.56,50.58,29.13,loamy,oil seeds,12,0,17,20-20
26.95,50.63,43,sandy,barley,28,0,14,10-26-26
26.39,54.79,46.15,sandy,wheat,25,0,19,dap
30.13,72.21,35.94,red,ground nuts,39,3,0,14-35-14
35.71,67.62,25.16,red,pulses,35,0,2,17-17-17
28.88,60.85,28.57,clayey,barley,19,0,40,10-26-26
27.05,44.74,56.64,red,sugarcane,11,0,4,10-26-26
29.34,44.01,41.14,loamy,tobacco,42,0,0,14-35-14
39.33,67.44,37.85,loamy,sugarcane,7,0,37,14-35-14
28.53,59.01,60.57,clayey,ground nuts,8,0,40,28-28
23.12,58.63,37.49,black,cotton,33,3,0,14-35-14
31.53,58.95,51.37,clayey,paddy,17,0,21,14-35-14
